specobjid,ra,dec,z,plate,mjd,fiberid,class,subclass
2.995E+17,146.94386,0.039168534,0.000160588,266,51630,38,STAR,G2
2.99554E+17,145.67423,-0.38081052,-0.000101995,266,51630,234,STAR,G0
2.99589E+17,145.7304,1.1649383,0.000286107,266,51630,364,STAR,G2
3.19796E+17,178.65585,-0.28015746,9.52E-05,284,51943,148,STAR,G0
3.1984E+17,177.00343,-0.25774205,9.31E-05,284,51943,306,STAR,G2
3.19891E+17,178.48224,0.43626493,0.000355349,284,51943,492,STAR,G2
3.19895E+17,178.53292,-0.021876223,0.000516463,284,51943,506,STAR,G0
3.19898E+17,178.53345,0.4346441,0.0009279,284,51943,517,STAR,G2
3.18788E+17,176.4009,0.94150344,8.28E-05,283,51959,576,STAR,G2
3.18799E+17,177.03165,0.70691947,0.000226906,283,51959,617,STAR,G0
3.19764E+17,179.40456,-0.28487593,0.000837649,284,51943,31,STAR,G2
3.13077E+17,166.98484,-0.079988802,9.71E-06,278,51900,278,STAR,G0
3.13085E+17,166.83335,-0.17846498,2.83E-05,278,51900,307,STAR,G2
3.13088E+17,166.20931,-0.16881158,0.000179984,278,51900,319,STAR,G0
3.13109E+17,166.96712,0.22640547,0.000129663,278,51900,394,STAR,G0
3.13124E+17,167.32649,0.93289126,3.00E-05,278,51900,449,STAR,G0
3.13134E+17,167.37209,0.69263756,0.000127531,278,51900,488,STAR,G0
3.1315E+17,167.98707,0.56356979,0.000221376,278,51900,546,STAR,G2
3.14144E+17,169.8531,-0.60579332,0.000233781,279,51984,64,STAR,G2
3.14184E+17,168.92505,-0.98835722,0.000206315,279,51984,211,STAR,G2
3.31137E+17,196.66639,1.1532225,-5.45E-05,294,51986,446,STAR,G2
3.3115E+17,196.96282,0.15581413,0.000223122,294,51986,492,STAR,G0
3.31155E+17,197.14727,0.11391897,-0.000239042,294,51986,512,STAR,G2
3.32146E+17,199.10328,-1.0528326,0.000857977,295,51985,20,STAR,G0
3.32158E+17,199.26198,-0.80157154,-0.000131647,295,51985,64,STAR,G0
3.32177E+17,198.22299,-1.1449341,0.000632355,295,51985,132,STAR,G2
3.36656E+17,205.735,-1.1620665,0.000205388,299,51671,42,STAR,G2
3.36695E+17,205.17311,-0.45938601,-0.000242388,299,51671,184,STAR,G0
3.36737E+17,204.28717,0.66073192,3.62E-05,299,51671,338,STAR,G2
3.36751E+17,204.77985,0.55607354,0.000191122,299,51671,388,STAR,G2
3.40184E+17,212.87341,0.5139153,-2.00E-05,302,51688,590,STAR,G2
3.41227E+17,212.4215,-0.87016008,-0.000145564,303,51615,288,STAR,G0
3.38897E+17,210.49627,-0.9625698,-1.63E-05,301,51942,5,STAR,G2
3.38913E+17,210.48741,-0.33873953,6.54E-05,301,51942,64,STAR,G2
3.38986E+17,208.84792,0.98227737,-0.000214612,301,51942,326,STAR,G2
3.64933E+17,183.39272,0.58146935,6.93E-05,324,51666,515,STAR,G2
3.64943E+17,183.71806,0.11162253,0.000819516,324,51666,551,STAR,G2
3.64948E+17,183.65918,1.2192935,0.000125977,324,51666,568,STAR,G2
3.64948E+17,183.46214,1.1615884,0.000183079,324,51666,569,STAR,G2
3.6495E+17,183.48815,0.95991482,0.000112091,324,51666,578,STAR,G0
3.67084E+17,172.12291,-2.736999,0.000137211,326,52375,148,STAR,G0
3.67156E+17,171.67642,-1.4804328,2.63E-05,326,52375,409,STAR,G2
3.67195E+17,172.44427,-2.0315822,-6.79E-05,326,52375,553,STAR,G2
3.67217E+17,173.07012,-2.1313466,0.000125408,326,52375,631,STAR,G0
3.25437E+17,186.65779,-0.60189733,0.000177461,289,51990,187,STAR,G0
3.25522E+17,187.00288,0.29334685,0.000179221,289,51990,499,STAR,G2
3.25528E+17,187.29278,0.98782282,0.000450756,289,51990,521,STAR,G0
3.26512E+17,189.8318,-1.1483669,0.000463727,290,51941,2,STAR,G0
3.26526E+17,189.48687,-1.1061887,0.000307386,290,51941,53,STAR,G2
3.2655E+17,189.38184,-0.31355996,-8.91E-06,290,51941,141,STAR,G0
3.26568E+17,188.82939,-0.78214411,1.44E-05,290,51941,208,STAR,G2
3.26618E+17,188.43508,0.57571607,-9.92E-05,290,51941,390,STAR,G2
3.20907E+17,179.78504,-1.144067,0.000197257,285,51930,91,STAR,G2
3.20918E+17,179.68465,-0.9934841,0.000445421,285,51930,133,STAR,G0
3.20957E+17,179.37346,-0.29715926,0.00022143,285,51930,276,STAR,G0
3.20959E+17,178.69082,-1.20959,-9.06E-07,285,51930,281,STAR,G2
3.20961E+17,179.1643,-1.1768044,0.000352133,285,51930,288,STAR,G0
3.20974E+17,178.8409,0.9471342,0.000368585,285,51930,335,STAR,G0
3.10759E+17,164.40165,-0.29609692,1.85E-05,276,51909,40,STAR,G0
3.10761E+17,163.95283,-0.77088245,0.000248427,276,51909,47,STAR,G2
3.10807E+17,163.1627,-0.94347255,0.000114978,276,51909,212,STAR,G2
3.10873E+17,163.0932,0.96880015,0.000210132,276,51909,452,STAR,G2
3.10907E+17,163.8697,1.0867901,3.31E-05,276,51909,576,STAR,G2
3.1092E+17,164.74916,0.40929658,0.000126816,276,51909,625,STAR,G0
3.11895E+17,166.04396,-0.64859044,0.000188708,277,51908,76,STAR,G0
3.1196E+17,164.16242,-0.65293949,0.000257865,277,51908,313,STAR,G0
2.99652E+17,147.01354,0.15538982,0.001112312,266,51630,591,STAR,G2
2.9966E+17,146.98697,0.90994195,-0.000188706,266,51630,620,STAR,G2
3.00629E+17,148.5264,-0.97168901,0.000458912,267,51608,49,STAR,G0
3.00636E+17,148.98573,0.005366197,3.18E-05,267,51608,75,STAR,G2
3.0065E+17,148.1694,-1.1243151,0.000244145,267,51608,128,STAR,G2
3.00657E+17,148.53234,-0.38237117,0.000360255,267,51608,150,STAR,G2
3.00679E+17,147.65636,-0.54811511,0.000247952,267,51608,230,STAR,G0
3.00696E+17,147.21337,-0.8131697,9.93E-05,267,51608,293,STAR,G2
3.007E+17,147.10709,-0.34790731,-9.76E-05,267,51608,308,STAR,G0
3.00768E+17,148.54058,0.25761725,-0.000119558,267,51608,557,STAR,G0
3.01746E+17,150.21882,-0.5674201,-6.40E-05,268,51633,18,STAR,G2
3.01754E+17,149.6984,-0.66619961,0.000518739,268,51633,46,STAR,G0
3.1991E+17,178.50273,0.97134068,0.000176681,284,51943,561,STAR,G0
3.31092E+17,195.82598,-1.1352041,1.04E-05,294,51986,281,STAR,G0
3.31111E+17,195.23747,0.60650807,5.39E-05,294,51986,351,STAR,G2
3.89701E+17,244.53835,0.35410641,-0.000438959,346,51693,508,STAR,G0
3.89727E+17,245.28551,1.0759115,0.000224596,346,51693,601,STAR,G2
3.91817E+17,249.47291,-0.89383945,-1.01E-05,348,51671,14,STAR,G2
3.91818E+17,249.60174,-1.0300931,-5.61E-05,348,51671,18,STAR,G2
3.91836E+17,248.82133,-1.174218,-4.25E-05,348,51671,83,STAR,G2
3.91851E+17,248.59427,-0.85716579,8.62E-05,348,51671,136,STAR,G0
3.91852E+17,248.67991,-1.1379602,0.000175812,348,51671,140,STAR,G0
3.3004E+17,195.40205,0.33747561,0.000128715,293,51689,552,STAR,G2
3.31075E+17,196.21933,-0.70983203,0.000438325,294,51986,218,STAR,G2
3.31075E+17,196.14417,-1.0432409,0.000831681,294,51986,220,STAR,G2
3.78358E+17,191.01177,-3.6774663,-0.000227477,336,51999,204,STAR,G2
3.78396E+17,190.55884,-1.6484416,4.98E-05,336,51999,339,STAR,G2
3.78436E+17,191.46807,-1.7910663,0.000293481,336,51999,485,STAR,G2
3.14207E+17,168.25384,-1.173555,0.000398906,279,51984,296,STAR,G2
3.14212E+17,168.20643,-0.10004055,0.000347971,279,51984,312,STAR,G2
3.14223E+17,167.88151,0.059997797,0.000144716,279,51984,351,STAR,G0
3.14227E+17,168.43207,0.96660221,0.000390195,279,51984,367,STAR,G2
3.14257E+17,168.90949,0.083418132,1.25E-05,279,51984,475,STAR,G0
3.14272E+17,169.42232,0.76697752,0.000103789,279,51984,532,STAR,G0
3.14283E+17,169.57116,1.0436795,0.000331487,279,51984,572,STAR,G2
3.15259E+17,171.77441,0.027344183,0.000300832,280,51612,27,STAR,G0
3.15271E+17,171.35078,-0.19824979,-0.000144735,280,51612,69,STAR,G2
3.32246E+17,197.30856,0.99609257,-2.40E-05,295,51985,384,STAR,G0
3.32277E+17,198.53404,0.043022713,-3.46E-05,295,51985,497,STAR,G0
3.39019E+17,209.67755,0.95209346,-0.000392605,301,51942,447,STAR,G2
3.39052E+17,210.35807,0.89658832,0.000313668,301,51942,568,STAR,G0
3.39059E+17,210.60759,0.4196803,-0.000193708,301,51942,595,STAR,G2
3.39072E+17,211.02357,0.059627049,-5.95E-05,301,51942,639,STAR,G0
3.40033E+17,213.03633,-0.1668702,-0.00013773,302,51688,39,STAR,G2
3.40074E+17,211.89546,-0.38876922,-0.000401635,302,51688,191,STAR,G0
3.68319E+17,174.30002,-1.8316431,0.000189295,327,52294,545,STAR,G2
3.68326E+17,174.30131,-1.5315455,-0.000268752,327,52294,569,STAR,G2
3.69313E+17,176.32042,-2.9037526,-5.75E-05,328,52282,65,STAR,G2
3.69346E+17,175.3012,-2.6089892,0.000194274,328,52282,183,STAR,G2
3.69392E+17,174.17038,-2.3572107,-3.31E-05,328,52282,352,STAR,G2
3.69396E+17,174.85199,-1.2148681,7.75E-05,328,52282,368,STAR,G0
3.26677E+17,189.96339,1.0202013,0.000355692,290,51941,603,STAR,G0
3.26685E+17,190.25915,0.45334904,7.83E-05,290,51941,632,STAR,G2
3.27659E+17,191.95242,-0.18201823,0.000109558,291,51928,79,STAR,G2
3.27679E+17,191.44165,-0.10134483,-0.000115095,291,51928,154,STAR,G2
3.27697E+17,190.61167,-1.0351112,0.000218479,291,51928,220,STAR,G2
3.27702E+17,190.7688,-0.13315299,0.000170249,291,51928,236,STAR,G2
3.27754E+17,190.59567,0.72109321,-0.000115763,291,51928,426,STAR,G0
3.2104E+17,180.32777,0.79115446,-1.63E-05,285,51930,577,STAR,G0
3.22172E+17,182.29333,0.23708057,-9.54E-05,286,51999,599,STAR,G2
3.11991E+17,165.25171,0.065200723,9.04E-06,277,51908,424,STAR,G0
3.12046E+17,166.62,0.45916448,-7.77E-06,277,51908,626,STAR,G2
3.41244E+17,213.07121,0.15793702,6.12E-05,303,51615,351,STAR,G0
