specobjid,ra,dec,z,plate,mjd,fiberid,class,subclass
2.9949E+17,146.90229,-0.98491332,0.6524171,266,51630,3,QSO,BROADLINE
2.99505E+17,146.438,-0.65600998,1.473592,266,51630,58,QSO,BROADLINE
2.99511E+17,146.76383,0.041421411,1.772007,266,51630,80,QSO,BROADLINE
2.99524E+17,145.89838,-0.72280608,0.2712803,266,51630,125,QSO,BROADLINE
2.99524E+17,145.92005,-0.78353938,0.5176755,266,51630,126,QSO,BROADLINE
2.99526E+17,145.93986,-0.79011435,0.367843,266,51630,133,QSO,BROADLINE
2.99534E+17,146.2918,-0.25947359,0.3253868,266,51630,161,QSO,BROADLINE
2.99544E+17,145.9253,0.04879248,0.2884945,266,51630,200,QSO,BROADLINE
2.99547E+17,145.74093,-0.78478748,1.36213,266,51630,208,QSO,BROADLINE
2.99551E+17,145.74414,-0.04356676,1.615831,266,51630,225,QSO,BROADLINE
2.99555E+17,145.76225,-0.21964896,1.584228,266,51630,238,QSO,BROADLINE
2.99559E+17,145.46519,-1.0644753,0.3395857,266,51630,252,QSO,STARBURST BROADLINE
2.99567E+17,145.19927,-1.2327324,1.878727,266,51630,282,QSO,BROADLINE
2.9957E+17,145.24564,-0.64077363,1.163653,266,51630,294,QSO,BROADLINE
2.99575E+17,145.19933,-0.28622504,0.6515839,266,51630,313,QSO,BROADLINE
2.99578E+17,145.21389,1.1517021,1.961112,266,51630,321,QSO,BROADLINE
2.99578E+17,145.4801,1.232539,1.570566,266,51630,322,QSO,
2.9958E+17,145.39104,1.171197,1.045241,266,51630,329,QSO,BROADLINE
2.99581E+17,145.33887,1.1966007,0.4448358,266,51630,332,QSO,BROADLINE
2.99586E+17,145.3386,0.140315,1.475546,266,51630,351,QSO,BROADLINE
2.99586E+17,145.38704,0.12528484,0.488738,266,51630,353,QSO,BROADLINE
2.99594E+17,145.67367,0.94780421,0.6948174,266,51630,380,QSO,BROADLINE
2.99596E+17,145.46536,0.33402647,1.606542,266,51630,389,QSO,BROADLINE
2.99598E+17,145.59384,0.27826036,1.4047,266,51630,396,QSO,BROADLINE
2.99601E+17,146.05906,1.0485111,0.6928394,266,51630,405,QSO,BROADLINE
3.19777E+17,179.03741,-0.68635183,1.641788,284,51943,77,QSO,BROADLINE
3.1978E+17,178.44913,-0.77375867,1.548232,284,51943,88,QSO,BROADLINE
3.1978E+17,178.28033,-1.0908855,1.326626,284,51943,90,QSO,BROADLINE
3.19783E+17,178.27876,-1.1827334,1.329489,284,51943,98,QSO,BROADLINE
3.19785E+17,178.78345,-0.61645183,1.739728,284,51943,107,QSO,
3.19791E+17,177.97847,-0.9846289,1.930816,284,51943,128,QSO,BROADLINE
3.19792E+17,178.06718,-0.8978282,0.6364109,284,51943,133,QSO,BROADLINE
3.19793E+17,177.90502,-0.83695518,1.492425,284,51943,136,QSO,BROADLINE
3.19799E+17,178.42914,-0.19994773,0.6015502,284,51943,157,QSO,BROADLINE
3.198E+17,178.16242,-0.76838821,1.761382,284,51943,162,QSO,BROADLINE
3.19802E+17,178.33647,-0.76044853,0.1807631,284,51943,167,QSO,AGN BROADLINE
3.19804E+17,178.16884,-0.50121262,0.5524967,284,51943,175,QSO,BROADLINE
3.19805E+17,178.27894,-0.75353785,0.3569712,284,51943,179,QSO,STARBURST BROADLINE
3.19809E+17,177.98774,-0.23685832,1.652684,284,51943,196,QSO,BROADLINE
3.19814E+17,177.7179,-0.83786347,0.808071,284,51943,211,QSO,BROADLINE
3.19822E+17,177.35323,-1.0028645,1.128712,284,51943,243,QSO,BROADLINE
3.19827E+17,177.48987,-1.1096025,1.142211,284,51943,258,QSO,BROADLINE
3.19831E+17,177.68282,-0.39835407,1.979562,284,51943,273,QSO,BROADLINE
3.19833E+17,177.19365,-1.0488879,0.2427341,284,51943,283,QSO,STARFORMING
3.19834E+17,177.20685,-1.1695925,0.1057724,284,51943,286,QSO,AGN BROADLINE
3.1984E+17,177.31976,-0.70885821,0.7339379,284,51943,308,QSO,BROADLINE
3.19844E+17,177.07047,1.0659731,1.61567,284,51943,323,QSO,BROADLINE
3.19853E+17,177.47892,0.21536445,1.597327,284,51943,353,QSO,BROADLINE
3.19853E+17,177.59829,0.14418153,0.1270759,284,51943,356,QSO,STARBURST BROADLINE
3.19857E+17,177.70919,0.75164222,0.1395962,284,51943,370,QSO,STARBURST BROADLINE
3.19859E+17,177.38141,0.71174659,0.9321212,284,51943,377,QSO,BROADLINE
3.19861E+17,177.73534,0.36811167,1.051588,284,51943,382,QSO,BROADLINE
3.19862E+17,177.77222,0.49121561,1.770599,284,51943,386,QSO,BROADLINE
3.19866E+17,177.74472,0.91789262,1.752592,284,51943,402,QSO,BROADLINE
3.19866E+17,177.7413,0.95504323,1.281441,284,51943,403,QSO,BROADLINE
3.19867E+17,177.84464,1.0375958,0.4684734,284,51943,406,QSO,BROADLINE
3.19868E+17,177.90937,0.82956501,0.1951959,284,51943,409,QSO,BROADLINE
3.19869E+17,177.8141,0.64084074,1.884629,284,51943,412,QSO,BROADLINE
3.19871E+17,177.82883,0.92230974,1.402483,284,51943,418,QSO,BROADLINE
3.19875E+17,178.04661,0.1124084,0.4169583,284,51943,434,QSO,BROADLINE
3.19879E+17,178.16359,1.1883728,1.637866,284,51943,450,QSO,BROADLINE
3.19884E+17,178.19397,0.41112129,0.781316,284,51943,466,QSO,BROADLINE
3.19884E+17,178.05647,0.32964638,1.837352,284,51943,467,QSO,BROADLINE
3.19885E+17,178.14581,-0.095211432,0.1286608,284,51943,472,QSO,BROADLINE
3.19887E+17,178.2237,0.025521556,0.8223849,284,51943,478,QSO,BROADLINE
3.19888E+17,178.5125,0.53164106,0.4481982,284,51943,483,QSO,BROADLINE
3.19893E+17,178.55228,-0.031458147,0.7299848,284,51943,501,QSO,BROADLINE
3.19897E+17,178.51726,0.23874419,1.613113,284,51943,516,QSO,BROADLINE
3.19898E+17,178.5843,0.28701852,1.037556,284,51943,518,QSO,BROADLINE
3.18784E+17,176.95693,-0.019301507,1.259907,283,51959,560,QSO,BROADLINE
3.18784E+17,176.39215,1.0522709,1.07095,283,51959,561,QSO,
3.18787E+17,176.58391,0.68309758,1.2623,283,51959,571,QSO,BROADLINE
3.18789E+17,176.65798,1.0272503,0.9638688,283,51959,580,QSO,BROADLINE
3.18792E+17,177.12605,0.29365685,1.64733,283,51959,591,QSO,BROADLINE
3.18793E+17,176.99063,-0.093388314,1.277182,283,51959,594,QSO,BROADLINE
3.18797E+17,176.96948,1.0752145,2.070375,283,51959,607,QSO,BROADLINE
3.18804E+17,177.36906,-0.12092398,1.189391,283,51959,634,QSO,BROADLINE
3.18805E+17,177.3678,-0.078494408,0.1759156,283,51959,636,QSO,STARBURST BROADLINE
3.18805E+17,177.45338,0.14884271,1.971527,283,51959,638,QSO,BROADLINE
3.19756E+17,178.97547,-1.0613359,1.968405,284,51943,3,QSO,BROADLINE
3.29932E+17,194.87004,-0.45833542,1.907633,293,51689,156,QSO,BROADLINE
3.29933E+17,194.40445,-0.53893907,1.024542,293,51689,161,QSO,BROADLINE
3.29933E+17,194.46367,-0.73070051,0.7201473,293,51994,162,QSO,
3.29938E+17,194.45026,-0.043642898,1.209499,293,51689,179,QSO,BROADLINE
3.29939E+17,194.29548,-0.44479891,1.785827,293,51689,184,QSO,BROADLINE
3.29941E+17,194.2433,-0.35638762,1.272102,293,51689,190,QSO,BROADLINE
3.29945E+17,194.17078,-1.0258494,1.582891,293,51689,206,QSO,BROADLINE
3.29952E+17,193.9596,-0.30861479,0.7174979,293,51689,230,QSO,BROADLINE
3.29952E+17,193.88748,-0.27850133,2.033383,293,51689,231,QSO,BROADLINE
3.29952E+17,194.11248,0.048632352,1.61779,293,51689,232,QSO,BROADLINE
3.29953E+17,193.88314,-0.48068735,1.479258,293,51689,234,QSO,BROADLINE
3.29953E+17,194.03275,0.035485574,0.6511152,293,51689,235,QSO,BROADLINE
3.29954E+17,194.07303,-0.32172755,1.768253,293,51689,236,QSO,BROADLINE
3.29957E+17,193.88437,-1.1024346,1.791887,293,51689,249,QSO,BROADLINE
3.29961E+17,193.5361,-0.32983739,1.36378,293,51689,264,QSO,BROADLINE
3.29962E+17,193.49874,-0.54094843,1.690206,293,51689,267,QSO,BROADLINE
3.29964E+17,193.49844,-0.094662104,1.984197,293,51689,275,QSO,BROADLINE
3.29965E+17,193.80632,-0.38993929,1.032997,293,51689,278,QSO,BROADLINE
3.29967E+17,193.86792,-0.91166473,1.01248,293,51689,285,QSO,
3.29969E+17,193.50902,-0.82531293,1.374073,293,51689,291,QSO,BROADLINE
3.29972E+17,193.22722,-0.098824485,1.865993,293,51689,303,QSO,BROADLINE
3.29973E+17,193.04025,-0.26484226,0.8131489,293,51689,305,QSO,BROADLINE
3.29975E+17,193.2448,-0.71002434,1.373492,293,51689,314,QSO,BROADLINE
3.29977E+17,193.72833,1.0021613,2.382667,293,51689,323,QSO,BROADLINE
3.29982E+17,193.65114,0.9561277,1.193231,293,51689,339,QSO,BROADLINE
3.29983E+17,193.06691,0.52807674,1.261742,293,51689,342,QSO,BROADLINE
3.29999E+17,193.37495,0.12504283,2.691162,293,51689,400,QSO,
3.3E+17,194.54225,0.92651728,2.124565,293,51689,405,QSO,BROADLINE
3.30001E+17,194.33143,0.8385702,1.520458,293,51689,409,QSO,BROADLINE
3.30002E+17,194.43307,0.95932192,1.812562,293,51689,411,QSO,BROADLINE
3.30002E+17,194.5761,1.103848,1.728606,293,51689,413,QSO,BROADLINE
3.30003E+17,194.26533,1.0255436,0.9577896,293,51689,415,QSO,BROADLINE
