specobjid,ra,dec,z,plate,mjd,fiberid,class,subclass
4070296475891900416,36.33963,0.34611,-0.0005022215,3615,55208,612,STAR,K1III
4131060715703214080,114.05116,43.223696,-0.0001807795,3669,55481,487,STAR,K2III
4512616537211772928,236.40379,-0.36356547,3.448362e-05,4008,55356,35,STAR,M0III
4755815042355535872,14.437179,-1.0025109,-0.0005890783,4224,55481,50,STAR,K3III
5011557599625060352,121.68954,29.69486,0.0003673313,4451,55537,644,STAR,K4III
5012701641456984064,116.5182,30.109271,0.0001671204,4452,55536,710,STAR,K3III
5367190244444577792,174.8193,5.0544676,0.0002753131,4767,55946,92,STAR,K3III
5369670192669368320,170.97104,5.0667125,-0.0001339017,4769,55931,922,STAR,K1III
5412313372669485056,241.88375,3.1771793,-1.829636e-05,4807,55687,409,STAR,K2III
6031510497190191104,165.02166,11.992116,5.568896e-05,5357,55956,235,STAR,K4III
6598003353464053760,196.22785,20.929489,-0.0001736907,5860,56046,836,STAR,K4III
8194435154938142720,134.6087,56.739725,-1.905366e-06,7278,57041,493,STAR,K4III
8253099591848665088,39.968062,0.63642802,-0.0005155504,7330,56684,921,STAR,K1III
8253103715017269248,39.989886,0.13419495,-0.0004085236,7330,56684,936,STAR,K1III
9207628254478835712,166.65813,56.086364,-0.0002516822,8178,57428,68,STAR,K3III
8461320707497762816,134.32011,48.477971,1.411624e-05,7515,56781,665,STAR,K2III
8462534568351604736,138.83426,46.55911,6.927615e-05,7516,56782,985,STAR,K4III
8631252163077578752,359.00212,24.486312,-6.697998e-05,7666,57339,376,STAR,K1III
4595023284597137408,320.98164,6.2153933,-0.0002783121,4081,55365,821,STAR,K3III
5054170547283271680,129.24621,17.75173,0.0001337491,4489,55545,21,STAR,K4III
5055339879308697600,118.95489,17.467219,-8.15746e-05,4490,55629,179,STAR,K2III
5693887039306440704,336.78712,8.2268846,-0.0004974134,5057,56209,768,STAR,K4III
5695011289929064448,339.05162,8.4339537,-0.000190659,5058,56208,762,STAR,K2III
5444991133158449152,192.98976,6.7650855,2.141334e-07,4836,55689,506,STAR,K2III
6182386308695957504,230.59797,14.136125,0.0001739128,5491,56034,254,STAR,K1III
6103751984950517760,197.59485,11.222247,-3.325383e-05,5421,55980,904,STAR,K4III
6110344382145077248,200.20461,12.079868,0.0003553026,5427,56001,311,STAR,K3III
8172948216481816576,85.71574,-2.486098,0.0001382091,7259,56603,148,STAR,K2III
8172955363307397120,85.369384,-3.193615,7.956015e-05,7259,56603,174,STAR,K2III
8172958661842280448,85.167462,-2.561694,0.0001164992,7259,56603,186,STAR,K4III
8172959486476001280,85.205744,-2.695718,-9.472571e-05,7259,56603,189,STAR,K2III
