specobjid,ra,dec,z,plate,mjd,fiberid,class,subclass
3.15321E+17,170.01664,-0.38968843,-0.000194091,280,51612,251,STAR,WD
3.16509E+17,171.80071,0.2789693,9.19E-05,281,51614,476,STAR,WD
3.85208E+17,237.38482,0.37923855,-0.000120285,342,51691,547,STAR,WD
3.85213E+17,237.45804,1.1465347,0.000118514,342,51691,565,STAR,WD
3.85233E+17,238.15921,0.65288534,0.000136894,342,51691,639,STAR,WD
3.85234E+17,238.09394,0.62348302,-6.62E-05,342,51691,640,STAR,WD
3.86205E+17,240.03364,-0.14456297,-6.48E-05,343,51692,78,STAR,WD
3.86236E+17,239.01093,-0.12270452,-5.82E-05,343,51692,191,STAR,WD
3.86267E+17,237.77718,-0.19579812,0.00053349,343,51692,303,STAR,WD
3.86285E+17,238.52744,0.58146071,-7.34E-05,343,51692,369,STAR,WD
3.8629E+17,238.3176,0.53146625,-0.000550796,343,51692,385,STAR,WD
3.86294E+17,238.55353,1.1888375,-9.85E-05,343,51692,402,STAR,WD
3.86311E+17,238.70601,0.19756403,-2.47E-05,343,51692,462,STAR,WD
3.8734E+17,241.47719,-0.46978019,-0.000172512,344,51693,111,STAR,WD
3.98613E+17,261.19568,60.25025,2.09E-05,354,51792,163,STAR,WD
3.98624E+17,261.08998,60.763707,9.57E-05,354,51792,200,STAR,WD
3.98632E+17,260.71108,60.183991,1.95E-05,354,51792,229,STAR,WD
3.98641E+17,259.25025,60.528268,3.55E-05,354,51792,264,STAR,WD
3.98647E+17,259.47344,60.065626,-0.000210689,354,51792,286,STAR,WD
3.98656E+17,258.98454,60.112193,-0.000154449,354,51792,318,STAR,WD
3.98662E+17,258.53863,61.267284,-0.000661424,354,51792,341,STAR,WD
3.9868E+17,260.32251,61.509167,0.000403289,354,51792,407,STAR,WD
3.98699E+17,260.00675,61.188037,0.000121657,354,51792,474,STAR,WD
3.9872E+17,262.0442,61.151276,-2.99E-05,354,51792,549,STAR,WD
3.98724E+17,262.58382,61.660413,-0.000315721,354,51792,565,STAR,WD
3.98729E+17,262.3247,61.393189,-0.000141041,354,51792,583,STAR,WD
3.98732E+17,262.58829,60.882798,-0.000306929,354,51792,595,STAR,WD
3.98734E+17,262.85579,62.200356,-0.000115164,354,51792,603,STAR,WD
3.98739E+17,263.34594,61.520422,1.10E-05,354,51792,620,STAR,WD
3.99732E+17,258.52304,56.784822,-0.00016802,355,51788,135,STAR,WD
3.99754E+17,258.27803,56.923768,-0.000144699,355,51788,217,STAR,WD
5.12415E+17,39.03908,-8.1399757,0.000800757,455,51909,474,STAR,CarbonWD
5.18014E+17,50.11402,-5.881511,6.27E-05,460,51924,364,STAR,WD
5.18016E+17,50.356409,-6.2449621,-0.000125928,460,51924,372,STAR,WD
5.18018E+17,50.107666,-6.0996741,-0.000117521,460,51924,379,STAR,WD
5.18027E+17,50.668232,-6.1744033,1.35E-05,460,51924,410,STAR,WD
5.18027E+17,50.49339,-5.8677304,-0.000615974,460,51924,412,STAR,WD
5.18028E+17,50.564976,-5.7853748,6.27E-05,460,51924,414,STAR,WD
5.1805E+17,50.792974,-6.591374,-0.000388115,460,51924,494,STAR,WD
5.18074E+17,51.308607,-6.4674993,-7.35E-05,460,51924,583,STAR,WD
5.18086E+17,51.978139,-6.7034,-0.000238116,460,51924,627,STAR,WD
5.18087E+17,51.776129,-6.4745791,-0.000153093,460,51924,629,STAR,WD
5.19058E+17,53.615071,-7.2568567,-8.31E-05,461,51910,65,STAR,WD
5.19065E+17,53.349429,-7.4699357,0.000479727,461,51910,92,STAR,WD
5.19081E+17,53.29347,-7.1463025,-9.63E-05,461,51910,148,STAR,WD
5.19083E+17,53.240344,-7.0763631,0.000123122,461,51910,158,STAR,WD
